id,text,county,created_at,sentiment_score,sentiment_label,keywords,retweet_count,favorite_count,source_type,username,location,title,source,url,health_relevance_score,interest_score,date,outbreak_occurred,is_recent,is_weekend,text_length,word_count,has_county,is_social_media,is_news,is_official,engagement_score,high_engagement
1,"Feeling terrible - weakness, weakness and weakness. Hope it's not measles",kisii,2025-10-02 04:42:32.197203,-0.21253608887309766,negative,[],20,57,twitter,user1695,"Kisii, Kenya",,,,0.5,0,2025-10-02,1,False,False,73,11,1,1,0,0,77,0
2,Is there a pneumonia outbreak? Hearing lots of cases in Garissa,kericho,2025-09-26 16:42:32.272921,-0.2944377978150773,negative,[],11,8,twitter,user5804,"Kericho, Kenya",,,,0.75,0,2025-09-26,1,False,False,63,11,1,1,0,0,19,0
3,Is there a tuberculosis outbreak? Hearing lots of cases in Nakuru,kilifi,2025-09-14 15:36:32.296670,-0.22322873235435414,negative,[],3,52,twitter,user6728,"Kilifi, Kenya",,,,0.75,0,2025-09-14,1,False,True,65,11,1,1,0,0,55,0
4,Experiencing cough and cough. Could this be flu? #health #Kenya,machakos,2025-08-23 05:12:32.298111,-0.15464320369448478,negative,[],23,81,twitter,user5048,"Machakos, Kenya",,,,0.75,0,2025-08-23,1,False,True,63,10,1,1,0,0,104,1
5,"Feeling terrible - chills, chills and chills. Hope it's not malaria",machakos,2025-09-07 02:41:32.298111,-0.15819285694232293,negative,[],43,36,twitter,user8895,"Machakos, Kenya",,,,0.75,0,2025-09-07,1,False,True,67,11,1,1,0,0,79,0
6,"Feeling terrible - sweating, sweating and sweating. Hope it's not malaria",nairobi,2025-08-08 11:50:32.298111,-0.19964200592406664,negative,[],39,99,twitter,user4788,"Nairobi, Kenya",,,,0.75,0,2025-08-08,1,False,False,73,11,1,1,0,0,138,1
7,PSA: Get checked if you have vomiting. yellow fever is spreading in Meru,eldoret,2025-07-19 15:31:32.298111,-0.1217953343996433,negative,[],9,16,twitter,user5447,"Eldoret, Kenya",,,,0.75,0,2025-07-19,1,False,True,72,13,1,1,0,0,25,0
8,Is there a influenza outbreak? Hearing lots of cases in Meru,busia,2025-08-18 09:28:32.298111,-0.24168753208400373,negative,[],49,88,twitter,user5108,"Busia, Kenya",,,,1.0,0,2025-08-18,1,False,False,60,11,1,1,0,0,137,1
9,Busia residents reporting sweating. Any idea what's going on?,bungoma,2025-07-14 12:09:32.298111,-0.2556205269427192,negative,[],25,30,twitter,user1916,"Bungoma, Kenya",,,,0.5,0,2025-07-14,1,False,False,61,9,1,1,0,0,55,0
10,Kisumu residents reporting weakness. Any idea what's going on?,machakos,2025-08-01 04:14:32.298111,-0.2682847331784033,negative,[],33,60,twitter,user6992,"Machakos, Kenya",,,,0.5,0,2025-08-01,1,False,False,62,9,1,1,0,0,93,0
11,Visited hospital today - so many dengue patients. Stay healthy Kisumu!,kisumu,2025-08-15 10:10:32.298111,-0.16622193860523357,negative,[],36,82,twitter,user2329,"Kisumu, Kenya",,,,0.5,0,2025-08-15,1,False,False,70,11,1,1,0,0,118,1
12,"Feeling terrible - headache, headache and headache. Hope it's not influenza",nakuru,2025-07-21 17:12:32.298111,-0.12543100148040862,negative,[],16,35,twitter,user8167,"Nakuru, Kenya",,,,0.75,0,2025-07-21,1,False,False,75,11,1,1,0,0,51,0
13,Anyone else in Kilifi experiencing chills? Worried about measles,bungoma,2025-07-27 20:08:32.311313,-0.20418619326475182,negative,[],28,22,twitter,user2450,"Bungoma, Kenya",,,,0.5,0,2025-07-27,1,False,True,64,9,1,1,0,0,50,0
14,My friend has vomiting and vomiting. Should we worry about diarrhea?,busia,2025-07-26 02:51:32.313145,-0.16616120732170778,negative,[],12,72,twitter,user5253,"Busia, Kenya",,,,0.5,0,2025-07-26,1,False,True,68,11,1,1,0,0,84,0
15,My friend has nausea and nausea. Should we worry about tuberculosis?,kitale,2025-07-18 15:57:32.314385,-0.22676626218238222,negative,[],32,50,twitter,user6218,"Kitale, Kenya",,,,0.5,0,2025-07-18,1,False,False,68,11,1,1,0,0,82,0
16,Anyone else in Mombasa experiencing vomiting? Worried about measles,garissa,2025-08-27 13:34:32.314385,-0.20794299746351963,negative,[],23,36,twitter,user1658,"Garissa, Kenya",,,,0.5,0,2025-08-27,1,False,False,67,9,1,1,0,0,59,0
17,"Feeling terrible - chills, chills and chills. Hope it's not tuberculosis",kisumu,2025-08-18 03:39:32.314385,-0.2330602526398899,negative,[],30,22,twitter,user4780,"Kisumu, Kenya",,,,0.5,0,2025-08-18,1,False,False,72,11,1,1,0,0,52,0
18,"Feeling terrible - cough, cough and cough. Hope it's not malaria",kisii,2025-08-12 23:26:32.314385,-0.14342849527437382,negative,[],25,19,twitter,user3012,"Kisii, Kenya",,,,0.75,0,2025-08-12,1,False,False,64,11,1,1,0,0,44,0
19,PSA: Get checked if you have fever. dengue is spreading in Thika,garissa,2025-08-20 10:44:32.314385,-0.15359393094030255,negative,[],48,41,twitter,user7747,"Garissa, Kenya",,,,0.75,0,2025-08-20,1,False,False,64,12,1,1,0,0,89,0
20,"Feeling terrible - dizziness, dizziness and dizziness. Hope it's not dengue",garissa,2025-07-24 19:48:32.314385,-0.1523015169636489,negative,[],29,4,twitter,user7309,"Garissa, Kenya",,,,0.5,0,2025-07-24,1,False,False,75,11,1,1,0,0,33,0
