id,text,county,created_at,sentiment_score,sentiment_label,keywords,retweet_count,favorite_count,source_type,username,location,title,source,url,health_relevance_score,disease_type,outbreak_status,case_count,interest_score,date,outbreak_occurred,health_relevance_score_computed,is_recent,is_weekend,text_length,word_count,has_county,is_social_media,is_news,is_official,engagement_score,high_engagement
7,Food poisoning outbreak in Mombasa restaurant,mombasa,2025-10-26 11:12:33.580418,0.0,,['outbreak'],49,75,twitter,,,,,,,,,,0,2025-10-26,1,0.5,True,True,45,6,1,1,0,0,124,1
8,Just got diagnosed with malaria in Kajiado. Feeling terrible! 😷,kajiado,2025-10-26 06:22:33.580418,0.0,,['malaria'],14,91,twitter,,,,,,,,,,0,2025-10-26,1,0.4,True,True,63,10,1,1,0,0,105,1
9,Clinic in Tana River running out of malaria medication,tana river,2025-10-25 16:05:33.580418,0.0,,"['malaria', 'clinic', 'medication']",28,74,twitter,,,,,,,,,,0,2025-10-25,1,0.5,True,True,54,9,1,1,0,0,102,1
10,Measles outbreak confirmed in Meru schools,meru,2025-10-26 09:17:33.580418,0.0,,['outbreak'],40,41,twitter,,,,,,,,,,0,2025-10-26,1,0.5,True,True,42,6,1,1,0,0,81,1
11,Clinic in Taita Taveta running out of malaria medication,taita taveta,2025-10-26 04:01:33.580418,0.0,,"['malaria', 'clinic', 'medication']",38,86,twitter,,,,,,,,,,0,2025-10-26,1,0.5,True,True,56,9,1,1,0,0,124,1
12,Clinic in Mombasa running out of malaria medication,mombasa,2025-10-24 12:41:33.580418,0.0,,"['malaria', 'clinic', 'medication']",46,26,twitter,,,,,,,,,,0,2025-10-24,1,0.5,True,False,51,8,1,1,0,0,72,1
13,Mental health awareness campaign in Meru,meru,2025-10-24 14:22:33.580418,0.0,,['health'],1,75,twitter,,,,,,,,,,0,2025-10-24,0,0.3,True,False,40,6,1,1,0,0,76,1
14,HIV testing drive in West Pokot this weekend,west pokot,2025-10-25 07:06:33.580418,0.0,,[],41,5,twitter,,,,,,,,,,0,2025-10-25,0,0.2,True,True,44,8,1,1,0,0,46,1
15,Water shortage in Meru causing health concerns,meru,2025-10-24 22:19:33.580418,0.0,,['health'],47,53,twitter,,,,,,,,,,0,2025-10-24,0,0.3,True,False,46,7,1,1,0,0,100,1
16,Health officials investigating suspected TB cases in Mombasa,mombasa,2025-10-24 23:23:33.580418,0.0,,['health'],19,95,twitter,,,,,,,,,,0,2025-10-24,0,0.3,True,False,60,8,1,1,0,0,114,1
17,Clinic in Machakos running out of malaria medication,machakos,2025-10-24 13:10:33.580418,0.0,,"['malaria', 'clinic', 'medication']",30,14,twitter,,,,,,,,,,0,2025-10-24,1,0.5,True,False,52,8,1,1,0,0,44,1
18,Outbreak of cholera reported in Kisii. Stay safe everyone!,kisii,2025-10-25 07:19:33.580418,0.0,,"['cholera', 'outbreak']",45,23,twitter,,,,,,,,,,0,2025-10-25,1,0.7,True,True,58,9,1,1,0,0,68,1
19,Hospital in Mandera overwhelmed with flu patients,mandera,2025-10-24 12:38:33.580418,0.0,,"['flu', 'hospital']",43,42,twitter,,,,,,,,,,0,2025-10-24,1,0.5,True,False,49,7,1,1,0,0,85,1
20,Yellow fever vaccination campaign in Kisii,kisii,2025-10-24 04:46:33.580418,0.0,,"['fever', 'vaccination']",33,40,twitter,,,,,,,,,,0,2025-10-24,0,0.3,True,False,42,6,1,1,0,0,73,1
21,Just got diagnosed with malaria in Kericho. Feeling terrible! 😷,kericho,2025-10-24 05:06:33.580418,0.0,,['malaria'],3,46,twitter,,,,,,,,,,0,2025-10-24,0,0.3,True,False,63,10,1,1,0,0,49,1
22,Mental health awareness campaign in Kisii,kisii,2025-10-24 05:46:33.580418,0.0,,['health'],11,69,twitter,,,,,,,,,,0,2025-10-24,0,0.2,True,False,41,6,1,1,0,0,80,1
23,Just got diagnosed with malaria in Embu. Feeling terrible! 😷,embu,2025-10-24 03:30:33.580418,0.0,,['malaria'],6,83,twitter,,,,,,,,,,0,2025-10-24,0,0.3,True,False,60,10,1,1,0,0,89,1
